p,d,q,seasonal_order,aic,bic,converged,fit_seconds,error
4,1,3,"(1, 1, 1, 24)",7347.551644035409,7397.082334540481,False,15.5,
4,1,4,"(1, 1, 1, 24)",7363.477337657974,7417.492813704459,False,12.3,
4,1,5,"(1, 1, 1, 24)",7319.589448024775,7378.086679553301,False,14.8,
4,1,6,"(1, 1, 1, 24)",7319.273691401602,7382.2496414942725,False,16.4,
4,2,0,"(1, 1, 1, 24)",7518.348781384435,7554.359098748758,False,7.4,
4,2,1,"(1, 1, 1, 24)",7509.676838606889,7550.188445641752,False,10.5,
4,2,2,"(1, 1, 1, 24)",7474.178882814132,7519.191779519536,False,9.2,
4,2,3,"(1, 1, 1, 24)",7443.140869174495,7492.655055550439,False,12.1,
4,2,4,"(1, 1, 1, 24)",7431.536894489871,7485.534338977741,False,18.5,
4,2,5,"(1, 1, 1, 24)",7414.450867462589,7472.928535405782,False,17.1,
4,2,6,"(1, 1, 1, 24)",7382.784895414987,7445.739745277589,False,18.8,
5,0,0,"(1, 1, 1, 24)",7254.062580643328,7294.5876910565685,True,9.3,
5,0,1,"(1, 1, 1, 24)",7290.545425481159,7335.573325940316,False,12.7,
5,0,2,"(1, 1, 1, 24)",7320.876448587145,7370.407139092217,False,15.3,
5,0,3,"(1, 1, 1, 24)",7352.654214091326,7406.6876946423135,False,14.4,
5,0,4,"(1, 1, 1, 24)",7338.808693379449,7397.344963976352,False,12.9,
5,0,5,"(1, 1, 1, 24)",7326.0016733476405,7389.019728735206,False,15.7,
5,0,6,"(1, 1, 1, 24)",7304.486772113934,7371.983577723772,False,16.8,
5,1,0,"(1, 1, 1, 24)",7287.171919904226,7327.6835269390895,False,9.2,
5,1,1,"(1, 1, 1, 24)",7292.3666940221065,7337.379590727511,False,9.9,
5,1,2,"(1, 1, 1, 24)",7358.905826163929,7408.420012539874,False,11.0,
5,1,3,"(1, 1, 1, 24)",7359.514580067094,7413.530056113579,False,13.9,
5,1,4,"(1, 1, 1, 24)",7327.5607614543,7386.077527171325,False,17.7,
5,1,5,"(1, 1, 1, 24)",7332.909211129323,7395.906229698505,False,20.0,
